,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output132,4.459,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart132,1.353,Andrew Kiss,2021-02-25T22:21:39,18136279,0,[],normalbw,93.28,0.2961111111111111,93.0888524590164,0.2955043260473588,,,,191.30999999959022,252,216,24,0.164,169.414169,205.5,181.32,"[16, 15]",cartesian,15,300,5400,80,1,c42aaf3de15638e269f4296fd948cb0116e4cc96,2021-02-25 22:04:07 +1100,,,5400,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output133,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart133,1.354,Andrew Kiss,2021-02-25T23:00:32,18138033,0,[],normalbw,93.19,0.29583333333333334,93.25382876712328,0.2960359589041096,0.35222222222222227,3451.185597942563,37.00851368323958,203.19000000040978,252,216,24,0.152,153.454544,201.02,164.26,"[16, 15]",cartesian,15,300,5400,80,1,06a81d9a5507c930fc47a358faf3fa608e868e71,2021-02-25 22:42:47 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-02-25 22:42:47: Run 133'],5400,4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output134,4.451,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart134,1.354,Andrew Kiss,2021-02-25T23:40:43,18139324,0,[],normalbw,95.03,0.3016666666666667,95.09508904109589,0.3018732876712329,0.3680555555555555,3405.471588552468,35.811224563665675,203.12000000011176,252,216,24,0.161,164.31933,193.88,175.26,"[16, 15]",cartesian,15,300,5400,80,1,84984f3a6163d3941c6ac7682ed12dc4747317eb,2021-02-25 23:22:56 +1100,manifests/restart.yaml,['2021-02-25 23:22:56: Run 134'],5400,4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output135,4.45,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart135,1.354,Andrew Kiss,2021-02-26T00:19:17,18140911,0,[],normalbw,90.56,0.2875,90.62202739726028,0.28769691780821915,0.3552777777777778,3381.324114088159,37.312386526792544,192.36000000033528,252,216,24,0.145,144.356114,190.84,155.18,"[16, 15]",cartesian,15,300,5400,80,1,814e5e901fb65dacc26db6324fec3a59ebd8c4b4,2021-02-26 00:02:20 +1100,manifests/restart.yaml,['2021-02-26 00:02:20: Run 135'],5400,4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output136,4.463,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart136,1.354,Andrew Kiss,2021-02-26T00:48:18,18141831,0,[],normalbw,90.65,0.2877777777777778,90.4642418032787,0.28718806921675777,0.1958333333333333,4498.655944859276,49.728554124644546,192.44000000040978,252,216,24,0.144,144.426025,198.04,155.78,"[16, 15]",cartesian,15,300,5400,80,1,af8f17e60aefda39500f6efc0e3783b9e780d224,2021-02-26 00:31:21 +1100,manifests/restart.yaml,['2021-02-26 00:31:21: Run 136'],5400,4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output137,4.454,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart137,1.354,Andrew Kiss,2021-02-26T01:22:30,18142095,0,[],normalbw,91.35,0.29,91.41256849315067,0.29019863013698627,0.27999999999999997,3846.315789473684,42.07644367592493,202.87000000011176,252,216,24,0.149,148.988888,191.85,160.21,"[16, 15]",cartesian,15,300,5400,80,1,12c6b1e7f17ee6ceffb0aea4013d6b535abba6f5,2021-02-26 01:05:22 +1100,manifests/restart.yaml,['2021-02-26 01:05:22: Run 137'],5400,4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output138,4.45,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart138,1.354,Andrew Kiss,2021-02-26T01:52:45,18142321,0,[],normalbw,90.91,0.2886111111111111,90.97226712328766,0.2888087899543379,0.21555555555555556,4327.61652892562,47.570723098070495,192.30999999959022,252,216,24,0.144,144.260939,197.01,155.24,"[16, 15]",cartesian,15,300,5400,80,1,28e605bacb9924a69c42ffdbf583757033841f64,2021-02-26 01:35:46 +1100,manifests/restart.yaml,['2021-02-26 01:35:46: Run 138'],5400,4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output139,4.451,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart139,1.354,Andrew Kiss,2021-02-26T02:27:55,18142827,0,[],normalbw,90.65,0.2877777777777778,90.7120890410959,0.2879748858447489,0.29833333333333334,3711.9241706161138,40.9198400108995,192.49000000022352,252,216,24,0.142,142.243241,193.84,153.18,"[16, 15]",cartesian,15,300,5400,80,1,90b0df696d187463d784372063d2a78a4b209379,2021-02-26 02:10:56 +1100,manifests/restart.yaml,['2021-02-26 02:10:56: Run 139'],5400,4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output140,4.455,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart140,1.354,Andrew Kiss,2021-02-26T03:04:14,18143314,0,[],normalbw,90.74,0.28805555555555556,90.55405737704918,0.2874652777777778,0.31722222222222224,3597.951353832033,39.732635489218055,202.75999999977648,252,216,24,0.146,146.378765,190.65,157.24,"[16, 15]",cartesian,15,300,5400,80,1,b7085c31c29c753b7f8b025d1e04db03a6334678,2021-02-26 02:47:12 +1100,manifests/restart.yaml,['2021-02-26 02:47:12: Run 140'],5400,4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output141,4.443,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart141,1.354,Andrew Kiss,2021-02-26T03:40:59,18143619,0,[],normalbw,90.91,0.2886111111111111,90.97226712328766,0.2888087899543379,0.32388888888888895,3562.1877551020407,39.156853706575035,208.8300000000745,252,216,24,0.145,144.913121,204.84,155.39,"[16, 15]",cartesian,15,300,5400,80,1,08bb67de06f1969e2d0d8cb908c99e05f9b7d7f7,2021-02-26 03:23:58 +1100,manifests/restart.yaml,['2021-02-26 03:23:58: Run 141'],5400,4940640
,142,1978-01-01T00:00:00,1979-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output142,4.445,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart142,1.354,Andrew Kiss,2021-02-26T04:17:11,18143886,0,[],normalbw,91.26,0.2897222222222222,91.32250684931508,0.2899206621004566,0.3136111111111112,3630.232044198895,39.751778279464986,222.5,252,216,24,0.145,144.616306,204.41,156.35,"[16, 15]",cartesian,15,300,5400,80,1,5f3caf45657bdbebea65a256bd416199e2659203,2021-02-26 04:00:10 +1100,manifests/restart.yaml,['2021-02-26 04:00:10: Run 142'],5400,4975680
,143,1979-01-01T00:00:00,1980-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_20,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/output143,4.442,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_20/restart143,1.354,Andrew Kiss,2021-02-26T04:53:44,18144137,0,[],normalbw,91.61,0.29083333333333333,91.67274657534246,0.2910325342465753,0.3183333333333333,3609.258549931601,39.3711182959407,210.15000000037253,252,216,24,0.145,145.029412,209.87,157.06,"[16, 15]",cartesian,15,300,5400,80,1,f21efee60d418ce8a9633356eb099a6669013968,2021-02-26 04:36:33 +1100,manifests/restart.yaml,['2021-02-26 04:36:33: Run 143'],5400,5010720
