,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output132,4.46,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart132,1.353,Andrew Kiss,2021-02-25T22:21:31,18136285,0,[],normalbw,92.58,0.29388888888888887,92.3902868852459,0.2932866575591985,,,,191.03000000026077,252,216,24,0.165,169.377856,195.9,180.27,"[16, 15]",cartesian,15,300,5400,80,1,600e16e9166ff5b157ae30c7b8579da0c8dfdf7e,2021-02-25 22:04:07 +1100,,,5400,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output133,4.449,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart133,1.354,Andrew Kiss,2021-02-25T23:00:32,18138030,0,[],normalbw,94.85,0.3011111111111111,94.91496575342465,0.3013173515981735,0.3491666666666666,3500.6578385305424,36.88204289747883,192.37000000011176,252,216,24,0.159,161.373646,199.15,172.2,"[16, 15]",cartesian,15,300,5400,80,1,3f80c102a384680c6465ce5e16600f27904ac04f,2021-02-25 22:42:46 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-02-25 22:42:46: Run 133'],5400,4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output134,4.451,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart134,1.354,Andrew Kiss,2021-02-25T23:42:47,18139329,0,[],normalbw,94.41,0.2997222222222222,94.47466438356165,0.2999275114155251,0.4044444444444445,3217.760946745562,34.05951180394396,192.55999999959022,252,216,24,0.15,151.083943,194.59,162.27,"[16, 15]",cartesian,15,300,5400,80,1,6ccb33c15964c467cf53372ea1bafb8e969b4354,2021-02-25 23:25:06 +1100,manifests/restart.yaml,['2021-02-25 23:25:06: Run 134'],5400,4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output135,4.451,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart135,1.354,Andrew Kiss,2021-02-26T00:19:41,18140989,0,[],normalbw,91.88,0.2916666666666667,91.9429315068493,0.2918664383561644,0.3233333333333333,3585.5609756097565,38.99767950451579,192.5800000000745,252,216,24,0.146,146.843948,191.08,156.67,"[16, 15]",cartesian,15,300,5400,80,1,450a9ecbbe4a81aed64a0262184c2b3fcfccf16e,2021-02-26 00:02:27 +1100,manifests/restart.yaml,['2021-02-26 00:02:27: Run 135'],5400,4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output136,4.463,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart136,1.354,Andrew Kiss,2021-02-26T00:55:40,18141836,0,[],normalbw,90.83,0.28833333333333333,90.64387295081967,0.28774248633879784,0.31138888888888894,3634.882816118573,40.1007006628097,192.45000000018626,252,216,24,0.145,144.886667,200.11,156.42,"[16, 15]",cartesian,15,300,5400,80,1,6eff1ad6b707607fade48d610f58abe8ba8c1a3e,2021-02-26 00:38:41 +1100,manifests/restart.yaml,['2021-02-26 00:38:41: Run 136'],5400,4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output137,4.454,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart137,1.354,Andrew Kiss,2021-02-26T01:24:10,18142151,0,[],normalbw,91.17,0.28944444444444445,91.23244520547945,0.28964269406392695,0.18555555555555553,4606.484210526316,50.49173241110991,192.45999999996275,252,216,24,0.144,143.397165,194.88,154.43,"[16, 15]",cartesian,15,300,5400,80,1,3935e3d266d59ade4f1c09ca04c420161cc1ef8a,2021-02-26 01:07:02 +1100,manifests/restart.yaml,['2021-02-26 01:07:02: Run 137'],5400,4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output138,4.451,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart138,1.354,Andrew Kiss,2021-02-26T01:53:39,18142330,0,[],normalbw,90.91,0.2886111111111111,90.97226712328766,0.2888087899543379,0.20277777777777778,4440.149236856982,48.80772324646577,203.11000000033528,252,216,24,0.144,144.629521,199.28,155.99,"[16, 15]",cartesian,15,300,5400,80,1,6165c5fa04671b0830f6b3872a5f45476bd40686,2021-02-26 01:36:39 +1100,manifests/restart.yaml,['2021-02-26 01:36:39: Run 138'],5400,4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output139,4.451,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart139,1.354,Andrew Kiss,2021-02-26T02:29:12,18142834,0,[],normalbw,91.35,0.29,91.41256849315067,0.29019863013698627,0.30250000000000005,3700.2531645569616,40.478604042661956,192.36000000033528,252,216,24,0.146,147.051333,200.46,158.21,"[16, 15]",cartesian,15,300,5400,80,1,69f65cb6639166bf21dfc86084c392da3d52ac39,2021-02-26 02:11:54 +1100,manifests/restart.yaml,['2021-02-26 02:11:53: Run 139'],5400,4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output140,4.456,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart140,1.354,Andrew Kiss,2021-02-26T03:06:52,18143322,0,[],normalbw,91.09,0.2891666666666667,90.90334016393443,0.28857411202185795,0.3386111111111111,3482.3787610619465,38.30858970398503,192.82000000029802,252,216,24,0.143,143.266151,197.42,154.43,"[16, 15]",cartesian,15,300,5400,80,1,da6ace1f031fa0c892bf6632e09adca49c62c626,2021-02-26 02:49:48 +1100,manifests/restart.yaml,['2021-02-26 02:49:48: Run 140'],5400,4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/1deg_jra55_iaf_ensemble_turning_angle_22,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/output141,4.443,/scratch/jk72/aek156/access-om2/archive/1deg_jra55_iaf_ensemble_turning_angle_22/restart141,1.354,Andrew Kiss,2021-02-26T03:42:39,18143638,0,[],normalbw,90.3,0.2866666666666667,90.36184931506848,0.28686301369863015,0.3097222222222222,3633.870517000466,40.21465413274241,199.160000000149,252,216,24,0.14,139.982921,203.97,151.91,"[16, 15]",cartesian,15,300,5400,80,1,af75b58aeb97dd13a7304643e91073c158e2d0ff,2021-02-26 03:25:43 +1100,manifests/restart.yaml,['2021-02-26 03:25:42: Run 141'],5400,4940640
