,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output132,4.461,,,Andrew Kiss,2021-02-25T22:32:01,18136291,0,[],normalbw,93.97,0.29833333333333334,93.77743852459017,0.2977219945355191,,,,191.160000000149,252,216,24,0.159,165.717363,191.71,192.34,"[16, 15]",cartesian,15,300,5400,80,1,c810e38289ab7d4565d8aae4c7aa2fa24aa561d0,2021-02-25 22:13:53 +1100,,,5400,4625280
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output133,4.45,,,Andrew Kiss,2021-02-25T23:00:35,18138347,0,[],normalbw,94.59,0.30027777777777775,94.65478767123288,0.30048344748858447,0.17583333333333334,4768.130688448075,50.37389872987045,262.0599999995902,252,216,24,0.165,169.493093,204.41,180.99,"[16, 15]",cartesian,15,300,5400,80,1,5326ecf28bcd2656ed8dcfa0e97ef9711b0f3d07,2021-02-25 22:43:09 +1100,"manifests/input.yaml, manifests/restart.yaml",['2021-02-25 22:43:09: Run 133'],5400,4660320
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output134,4.452,,,Andrew Kiss,2021-02-25T23:48:38,18139386,0,[],normalbw,93.45,0.2966666666666667,93.51400684931507,0.29686986301369866,0.5041666666666667,2800.5827263267433,29.94827000450848,204.20000000018626,252,216,24,0.17,175.361486,196.08,179.46,"[16, 15]",cartesian,15,300,5400,80,1,ba6fbda045ccd2f7416b873243c664bd49c1d523,2021-02-25 23:31:10 +1100,manifests/restart.yaml,['2021-02-25 23:31:09: Run 134'],5400,4695360
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output135,4.453,,,Andrew Kiss,2021-02-26T00:22:33,18141160,0,[],normalbw,93.01,0.29527777777777775,93.07370547945206,0.2954800228310502,0.27,3948.925798525799,42.42794222260342,192.38999999966472,252,216,24,0.147,150.064873,203.66,161.36,"[16, 15]",cartesian,15,300,5400,80,1,de3b357e789fd35927b0ac03eaeac6b3a75e3f03,2021-02-26 00:05:07 +1100,manifests/restart.yaml,['2021-02-26 00:05:07: Run 135'],5400,4730400
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output136,4.464,,,Andrew Kiss,2021-02-26T00:57:38,18141846,0,[],normalbw,91.35,0.29,91.16280737704918,0.289405737704918,0.2947222222222223,3749.4726840855105,41.12941222375589,192.57000000029802,252,216,24,0.147,148.17239,197.39,159.36,"[16, 15]",cartesian,15,300,5400,80,1,3724a4d1eae8c20258630cad4cfedb5d6e10703b,2021-02-26 00:40:32 +1100,manifests/restart.yaml,['2021-02-26 00:40:32: Run 136'],5400,4765440
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output137,4.456,,,Andrew Kiss,2021-02-26T01:32:08,18142162,0,[],normalbw,91.61,0.29083333333333333,91.67274657534246,0.2910325342465753,0.2841666666666666,3823.721739130435,41.71056155700384,192.29000000003725,252,216,24,0.143,144.444475,206.59,156.05,"[16, 15]",cartesian,15,300,5400,80,1,882f1c895b68f5c10d1fa6383005957bc48eccf1,2021-02-26 01:15:01 +1100,manifests/restart.yaml,['2021-02-26 01:15:00: Run 137'],5400,4800480
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output138,4.452,,,Andrew Kiss,2021-02-26T02:00:34,18142504,0,[],normalbw,93.62,0.2972222222222222,93.68412328767124,0.297425799086758,0.1766666666666667,4741.364595545135,50.61011865357442,261.65000000037253,252,216,24,0.158,160.662454,193.32,171.52,"[16, 15]",cartesian,15,300,5400,80,1,2ddb278671e79ba2dfb5dbd4d55dbd58124a7e32,2021-02-26 01:43:19 +1100,manifests/restart.yaml,['2021-02-26 01:43:19: Run 138'],5400,4835520
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output139,4.452,,,Andrew Kiss,2021-02-26T02:37:44,18142924,0,[],normalbw,91.35,0.29,91.41256849315067,0.29019863013698627,0.3294444444444445,3539.300448430493,38.717875526008044,192.24000000022352,252,216,24,0.142,142.623831,201.33,154.14,"[16, 15]",cartesian,15,300,5400,80,1,e20a8ef97eb6f5bb9584b279367c743706919323,2021-02-26 02:20:38 +1100,manifests/restart.yaml,['2021-02-26 02:20:38: Run 139'],5400,4870560
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output140,4.458,,,Andrew Kiss,2021-02-26T03:20:06,18143370,0,[],normalbw,91.09,0.2891666666666667,90.90334016393443,0.28857411202185795,0.41694444444444445,3096.0566483084185,34.058777628247896,192.74000000022352,252,216,24,0.143,143.077993,195.99,154.15,"[16, 15]",cartesian,15,300,5400,80,1,2ae516a60363c1aa8ae71773f081b7b2d98186ee,2021-02-26 03:02:52 +1100,manifests/restart.yaml,['2021-02-26 03:02:52: Run 140'],5400,4905600
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/156/aek156/payu/param_ensemble/access-om2/1deg_jra55_iaf_ensemble_turning_angle_26,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/output141,4.445,/g/data/jk72/aek156/param_ensemble/outputs/1deg_jra55_iaf_ensemble_turning_angle_26/restart141,1.354,Andrew Kiss,2021-02-26T03:55:54,18143758,0,[],normalbw,90.91,0.2886111111111111,90.97226712328766,0.2888087899543379,0.3080555555555556,3656.7150837988825,40.19593222672158,203.09999999962747,252,216,24,0.143,143.530316,203.84,155.22,"[16, 15]",cartesian,15,300,5400,80,1,67992f29ace7e23ce2d6996492cfd60492fef5da,2021-02-26 03:38:54 +1100,manifests/restart.yaml,['2021-02-26 03:38:53: Run 141'],5400,4940640
